date,nav,daily_return_pct,cum_ret_pct,drawdown_pct,benchmark_nav,benchmark_cum_ret_pct
2026-09-22,100.0,0.0,0.0,0.0,100.0,0.0
2026-09-23,99.8667,-0.1333,-0.1333,-0.1333,99.2733,-0.7267
2026-09-24,100.0464,0.1799,0.0464,0.0,99.2524,-0.7476
2026-09-25,100.436,0.3894,0.436,0.0,99.9385,-0.0615
